horizon,var_response,value,sd,lower_95,upper_95,lower_68,upper_68,var_shocked
1,c_obs,-0.04901420722379831,0.020708691216689445,-0.08316064518852974,-0.01497298476536383,-0.05932725455626889,-0.03845279809460628,smdi_obs
1,h_obs,-0.13755023467319855,0.05811550360539923,-0.23337654343826453,-0.04201919575747082,-0.16649208972147045,-0.10791139347829963,smdi_obs
1,i_obs,-0.08307446518987906,0.03509928131151157,-0.1409494617007299,-0.025377799053227536,-0.10055410915741256,-0.06517387136709189,smdi_obs
1,reer_obs,-0.05181434718249438,0.021891761127488578,-0.0879115420972588,-0.01582837864638708,-0.06271657013499934,-0.040649573735120965,smdi_obs
1,smdi_obs,0.824369933677687,0.34829947012924467,0.2518306253862419,1.3986788615317174,0.6467375973303675,0.997825073055228,smdi_obs
1,wy_obs,0,0,0,0,0,0,smdi_obs
1,y_a_obs,-0.08335635403462689,0.03521838043345913,-0.14142773238036452,-0.02546391117493673,-0.10089531004989188,-0.06539501979417381,smdi_obs
1,y_obs,-0.09970910145184746,0.0421274791619458,-0.16917285166000143,-0.0304593900741854,-0.1206888283717543,-0.07822413466397762,smdi_obs
2,c_obs,-0.0531259899892408,0.02244593526209164,-0.09013695934348459,-0.01622906262916254,-0.06430419484812458,-0.04167858835918233,smdi_obs
2,h_obs,-0.08734730358105315,0.03690457197871788,-0.14819903315200145,-0.026683076599466168,-0.10572599268403013,-0.06852601355714091,smdi_obs
2,i_obs,-0.5518638362752394,0.23316459505097664,-0.9363275523628798,-0.1685847692154932,-0.6679811456626682,-0.4329501561682539,smdi_obs
2,reer_obs,-0.2708950431861351,0.11445419847063418,-0.45961789133652453,-0.08275370722856822,-0.3278938923107171,-0.21252353124684226,smdi_obs
2,smdi_obs,0.3145161996497086,0.13288430498229148,0.09607920912222137,0.5336283409765065,0.24674535420703492,0.38069334781831776,smdi_obs
2,wy_obs,0,0,0,0,0,0,smdi_obs
2,y_a_obs,-0.9788103171408489,0.4135511266116707,-1.6607123138594857,-0.29900946678200985,-1.1847611567431842,-0.7678997096919256,smdi_obs
2,y_obs,-0.13693717084974155,0.05785648178019413,-0.23233638006547666,-0.041831915460415224,-0.16575003153929072,-0.10743043049312145,smdi_obs
3,c_obs,-0.06220473779040936,0.02628174115384355,-0.1055405446999064,-0.019002461613150907,-0.07529319604511985,-0.048801079488258105,smdi_obs
3,h_obs,-0.06703070968889999,0.02832073285700304,-0.11372859790879991,-0.020476711790946078,-0.08113459753909602,-0.052587167921262515,smdi_obs
3,i_obs,-0.688996108166004,0.2911035077719823,-1.1689949533581523,-0.21047628463845822,-0.8339673293256099,-0.5405336480156936,smdi_obs
