YEARS;smdi_obs;wy_obs;y_obs;y_a_obs;h_obs;c_obs;i_obs;reer_obs
1994.5;-1.4480565053808878;0.669317670169606;-0.5871264537480663;-6.658793551152995;-5.0765025118276155;0.11858974855685764;-3.951626851878637;1.4375569291394719
1994.75;-1.0862012530567091;0.9477442346240083;-0.5603649855116077;-7.1961326520878055;-4.015050369583481;-0.5873386919587374;-1.15583245026688;2.6709093804840656
1995;-0.6716366466666277;0.3913077415687029;-0.10266693652623463;-8.425352159718438;-3.3220715467366575;-0.21668894234696945;-0.45077589555069847;2.44327542701388
1995.25;-2.27022191559582;-0.41022284275395865;1.3184537683871118;-0.640759193644474;-2.4196575753593184;-0.007953502635773557;2.3272419681134004;1.2262635115331655
1995.5;-1.8542132922791625;-0.6514370832336983;0.3863823961467373;-3.902291277124355;-2.0639129662368627;-0.12053098757352307;2.276798428598279;0.8033593008835993
1995.75;-1.5385087255296308;-1.0013933654025713;0.48701372132328635;-2.6090916787470104;-2.0763168362602262;-0.4453934291191417;4.785095948636128;0.010573991515450132
1996;-1.286762658914254;-1.3075264827112913;0.35871340096980087;0.8946066061474862;-1.6362572895108403;-0.09835919972743354;6.935421720222074;3.5964765598062165
1996.25;-2.2858856073606244;-0.7135998621289822;0.8799208498245874;4.305691556078582;-1.5870157551198232;0.548346124516835;7.312199504890267;0.6101300196176496
1996.5;-1.8141168424739118;-0.8655855957175206;0.9884727651208897;7.20788051440169;-1.0856936068082057;-0.33709756396143875;3.650546128436251;1.8846692372797236
1996.75;-0.9772080568669316;-0.904547643365295;0.6325579501277164;7.974087117873663;-1.9727400710708232;0.16269146962535214;2.4682866107333257;2.5731418340225964
1997;-1.4817282502594504;-1.204123746740837;-0.7685075927388719;9.011092921310816;-2.452707661360666;-0.08507359742279211;2.77625954073711;1.1152472210037345
1997.25;-0.979018907986983;-0.539575368116524;0.7938604815830795;10.113359190128428;-2.1543931637106244;-0.5166796785435586;2.1572068438276357;-0.7249430305393822
1997.5;-0.06854025655287661;-0.2796307748603702;1.8712582962830553;8.98675875723065;-2.986241221771643;0.16198162334742822;4.2228126975486315;-3.923101518303884
1997.75;0.1903164230473381;-0.4376685185909017;-0.44028360203546113;5.752742899330539;-3.428777479937775;-0.059660929021275184;-4.677333114939438;-0.7190891200992588
1998;1.684386290849182;-0.3899942513446839;-1.254698917464871;4.702290068653143;-3.989758610948846;0.41362078444140893;-3.8862533871220477;-2.530656691391542
1998.25;1.766472149928134;-0.3734856506441543;-2.5475313943601865;4.102582221909426;-5.051815666614496;-0.11490637580516673;-5.2438836534321736;-6.372719198847854
1998.5;-0.007662601417517171;-0.0030252193003578796;-2.3842772905903753;0.931053072743662;-4.750852833807756;0.39652125897353585;-13.888709646066916;-2.538681153989053
1998.75;0.2112949817053459;0.6926778034026638;-1.1249616243702183;1.517701966186449;-5.778035270792962;0.7661111280359222;-6.927056389417931;-2.993661020727245
1999;1.2226742115698825;0.7808807851007955;-0.7711570366765008;2.545739100182674;-4.828389920067531;2.4042836875547966;-3.5371979237955755;1.9025406474766804
1999.25;0.6910858920786433;0.7851827118407397;-0.8708724564867497;0.5548336774932668;-4.60523506658376;1.2086941534259268;-4.093956035257579;1.3856157911049216
1999.5;0.10434337634584144;1.2338150686510607;-0.13680104535776003;2.0172322148443853;-4.5413030163379196;1.0157501691052464;-0.5296025480366562;-3.9526886315448095
1999.75;0.6754209441255361;2.1405891332440916;0.34112564338243906;1.6821980222897153;-3.4049803837447006;1.8621136885074532;0.042088386176266195;-3.829710952838017
2000;0.6978324021024057;1.3606543870337136;2.2835773957381393;4.038541949872102;-3.7956542017186243;0.9920562156199387;10.820392931125498;-1.1805835009551124
2000.25;0.6360374113835471;2.566432155268441;0.3163144993827716;-2.309590083405597;-4.032216278131339;0.7094423860176449;3.8494329266426686;-1.077909362880547
2000.5;0.519393590999338;1.8208715192447686;-0.15283583909581092;-3.6586455613834348;-2.8254617325102984;0.7232386423753562;7.347116416197283;-6.287539182285595
2000.75;0.7132569065497304;1.7179202012208743;-0.2156231308444728;-4.596907051910481;-2.060627675057332;-1.1323989792110931;1.1011480216595366;-3.4683991380850543
2001;1.1370211052213968;0.36566857045718865;-1.8973425900102698;-3.7710893069048574;-2.760686967563888;-2.7224827815858457;-8.714869552942396;5.202139651938342
2001.25;0.5299230058962022;0.38858094741411714;0.49374316424014003;-5.7726227235395795;-1.0443223009461504;-1.3940613921008862;-0.6770325420329808;-1.3748487043660162
2001.5;0.7141834647627027;-0.85666665793193;-0.6241118167778383;-17.869619798875842;-1.3150077742460111;-0.5535885726605393;-6.226564224787204;1.1827172972863842
2001.75;-0.4201701986475002;-1.3713095897505603;-0.38027205736975306;-17.50814713062307;-0.7555657557135631;-2.3739878570444075;-2.8322072357103423;-0.14434119509871834
2002;-0.5768989139983676;-1.2927754618172513;-0.25771437402680364;-15.535170176303753;0.15611161298128431;-3.143444637437245;-9.541421285009859;3.6065889063959133
2002.25;1.095757690933768;-1.433485324780842;-0.5429734142681532;-17.504686685260427;0.33044787280693655;-0.3751228073507497;-9.898287400432876;5.945914513755035
2002.5;0.1628578825685596;-1.7756234327261748;-0.02229646755064985;-13.909774783256553;0.42331748918080714;-1.061084329645288;-5.058914584152192;-0.538525744504259
2002.75;-0.8122009191519509;-2.3672431820625226;1.0922897932832765;-12.360595244269398;0.13108874292252584;0.8671213104676991;-3.614043383476834;4.9930420574618495
