horizon,var_response,value,sd,lower_95,upper_95,lower_68,upper_68,var_shocked
1,c_obs,-0.0753794168800075,0.031994090946359466,-0.12859250632093533,-0.0231413510640139,-0.09135081334964577,-0.05887283020724838,smdi_obs
1,h_obs,-0.12752513069372343,0.05412685316810262,-0.2175497881724805,-0.039149995330494715,-0.15454516489475864,-0.09959967425112815,smdi_obs
1,i_obs,-0.09527442473333293,0.040438341605011814,-0.162532128422368,-0.02924908418548391,-0.11546117695052016,-0.07441122872239202,smdi_obs
1,reer_obs,-0.05377583214137647,0.022824650752952168,-0.09173816037289598,-0.016509087783526395,-0.06516985946559734,-0.0419999990176686,smdi_obs
1,smdi_obs,0.8228662413695943,0.34925790690283637,0.25261851787168516,1.4037576400072744,0.6426749703907233,0.9972152019527656,smdi_obs
1,wy_obs,0,0,0,0,0,0,smdi_obs
1,y_a_obs,-0.07859247738150794,0.03335784452997768,-0.1340737838360752,-0.0241277551001913,-0.09524465734980457,-0.06138229463639844,smdi_obs
1,y_obs,-0.05207657251509308,0.02210341584195078,-0.08883933117948906,-0.015987418006970212,-0.0631105605829819,-0.040672843308631176,smdi_obs
2,c_obs,-0.08022154067853983,0.03404928526326941,-0.13685286254205997,-0.024627874724652252,-0.0972188866996921,-0.06265462561019317,smdi_obs
2,h_obs,-0.131835636209918,0.055956407059842686,-0.22490323730727596,-0.040473313094711645,-0.1597689806411623,-0.10296626515705538,smdi_obs
2,i_obs,-0.668821578433768,0.2838750854409038,-1.1409672111052513,-0.20532707184988502,-0.810531544346865,-0.5223630117589623,smdi_obs
2,reer_obs,-0.4223393713163915,0.17925800988397816,-0.7204841921506984,-0.1296574590825697,-0.5118246688050869,-0.3298554847794342,smdi_obs
2,smdi_obs,0.3876984975488064,0.16455501387187432,0.11902277054025903,0.6613890576524855,0.3028002704522105,0.4698440841204289,smdi_obs
2,wy_obs,0,0,0,0,0,0,smdi_obs
2,y_a_obs,-1.2635900041080137,0.536319000380393,-2.1556044383971136,-0.38791995343489855,-1.5313195484053184,-0.9868890320794954,smdi_obs
2,y_obs,-0.1767067386924489,0.07500152830261851,-0.30145049342093483,-0.0542486642204776,-0.2141473756637652,-0.1380114924486282,smdi_obs
3,c_obs,-0.08603121915587998,0.03651514914583309,-0.14676380570455758,-0.026411436004081995,-0.10425952028604338,-0.06719210054316611,smdi_obs
3,h_obs,-0.12814100209861387,0.054388254045887215,-0.2186004257444364,-0.03933906679032764,-0.1552915271788433,-0.10008068211972619,smdi_obs
3,i_obs,-0.9228165931430131,0.3916809021596152,-1.574266603517338,-0.28330310359940825,-1.1183430417133127,-0.720738191528109,smdi_obs
3,reer_obs,-0.26370024912458456,0.11192511301194835,-0.4498559070357986,-0.08095552198783908,-0.3195730775734361,-0.2059551616992984,smdi_obs
3,smdi_obs,0.18266653490538487,0.07753110825893432,0.056078311386003915,0.3116175279232502,0.1426662123315442,0.22136993394272475,smdi_obs
3,wy_obs,0,0,0,0,0,0,smdi_obs
3,y_a_obs,-1.3821458659671217,0.5866389309866789,-2.3578532225681244,-0.42431639869190624,-1.6749950351159377,-1.07948352821915,smdi_obs
3,y_obs,-0.19526574144472836,0.08287872404791578,-0.33311097551953966,-0.05994624607856183,-0.23663866130315703,-0.15250644429456897,smdi_obs
4,c_obs,-0.07524324008428399,0.03193629197460434,-0.1283601973407171,-0.023099545022430605,-0.09118578340428957,-0.05876647340980115,smdi_obs
4,h_obs,-0.11629624594514065,0.04936085769158904,-0.1983940226760754,-0.035702747065919395,-0.14093710320829939,-0.0908296909774129,smdi_obs
4,i_obs,-0.8936623148914999,0.37930664047835067,-1.5245312531323931,-0.27435279042425886,-1.0830115528118114,-0.6979681178878678,smdi_obs
4,reer_obs,-0.14511386208545962,0.06159222627750301,-0.24755504884290297,-0.044549705553177034,-0.1758605980053814,-0.11333682478434254,smdi_obs
4,smdi_obs,0.08606446294040562,0.0365292591603375,0.026421641788634945,0.14682051749338118,0.06721806460289002,0.10429980776611333,smdi_obs
4,wy_obs,0,0,0,0,0,0,smdi_obs
4,y_a_obs,-1.2033106968398188,0.5107340102233014,-2.0527717617627728,-0.36941430999632696,-1.4582682570180632,-0.9398096890877587,smdi_obs
4,y_obs,-0.1596908639527227,0.06777929886004735,-0.2724224898810874,-0.04902482000263081,-0.19352617611529865,-0.12472175440283811,smdi_obs
5,c_obs,-0.061326514620851924,0.02602946755778331,-0.10461914598750936,-0.018827134290951474,-0.07432038111188437,-0.04789723285101899,smdi_obs
5,h_obs,-0.10406370539667043,0.04416886986504769,-0.17752608401446104,-0.03194737820060235,-0.12611273105622917,-0.08127583247702466,smdi_obs
5,i_obs,-0.7468604701718646,0.3169979657040432,-1.2740966129296842,-0.2292848771116665,-0.9051053222858508,-0.5833129449505701,smdi_obs
5,reer_obs,-0.07900244592508118,0.03353185185732418,-0.13477316418037727,-0.024253614736478128,-0.09574149005896179,-0.06170248825761629,smdi_obs
5,smdi_obs,0.040549801774348415,0.01721098543240971,0.012448719256214512,0.06917539106572158,0.031670205125080515,0.04914149679812791,smdi_obs
5,wy_obs,0,0,0,0,0,0,smdi_obs
5,y_a_obs,-0.9983009020802042,0.4237195135620368,-1.7030380490379209,-0.30647665634419363,-1.2098209716570398,-0.7796929445271255,smdi_obs
5,y_obs,-0.11686391344969713,0.049601798873145135,-0.19936242745007451,-0.03587702001143032,-0.14162504814605273,-0.09127305063702829,smdi_obs
6,c_obs,-0.050195020871052126,0.021304808783003268,-0.08562952336066955,-0.015409784895146916,-0.06083034563629276,-0.03920331389263523,smdi_obs
