YEARS;smdi_obs;wy_obs;wp_obs;wr_obs;y_obs;p_obs;y_a_obs;p_a_obs;c_obs;i_obs;q_obs;h_obs;r_obs;ex_rate_obs;reer_obs
1994.25;-0.2286;1.1575502001884068;NA;1.040293392493228;0.20342862697957173;NA;-11.21300847293662;NA;-0.4680093862690236;-5.998871186140933;NA;-6.146112418262364;1.5375;-8.03621536114978;NA
1994.5;-1.105;0.669317670169606;0.3113159128227849;1.1108471099510075;-0.5261399819165289;0.9661910911736626;-6.658793551152995;-0.6676228190105604;0.11858974855685764;-3.951626851878637;1.5889386704128161;-5.0765025118276155;1.8025;-7.141248614624852;1.4375569291394719
1994.75;-0.6844;0.9477442346240083;0.37498843914587354;1.2832149136932007;-0.3702135488944846;1.3642776403786527;-7.1961326520878055;-0.5758174049178777;-0.5873386919587374;-1.15583245026688;-9.43432030526568;-4.015050369583481;2.1675;-5.1283843894093275;2.6709093804840656
1995;0.4987;0.3913077415687029;0.3135366272683626;1.3358394191441583;0.31045647498140416;-0.13559324111360738;-8.425352159718438;-2.435580690414074;-0.21668894234696945;-0.45077589555069847;3.6022517858659593;-3.3220715467366575;2.34;-2.993220110215726;2.44327542701388
1995.25;-1.959;-0.41022284275395865;0.4617512634809806;1.2413278311616052;1.4258373979654828;0;-0.640759193644474;-2.092751953430927;-0.007953502635773557;2.3272419681134004;1.4351746258605163;-2.4196575753593184;2.28;-1.6325885314870225;1.2262635115331655
1995.5;-2.0554;-0.6514370832336983;0.3895768900865626;1.1712215193234043;0.6841952892630399;0.8108152528422785;-3.902291277124355;-0.20161299773873154;-0.12053098757352307;2.276798428598279;2.2525992403717385;-2.0639129662368627;2.2575;-0.21203156617799396;0.8033593008835993
1995.75;-1.906;-1.0013933654025713;0.34000167197110187;1.1298784561738449;0.6641340430516349;0.5369140415058204;-2.6090916787470104;0.8040243705421446;-0.4453934291191417;4.785095948636128;1.3786661656250698;-2.0763168362602262;2.13;0.14720056740060147;0.010573991515450132
1996;-1.1437;-1.3075264827112913;0.1291309144891173;1.0528205032769324;0.40206214692740244;0.6671138817022637;0.8946066061474862;-1.309842409293438;-0.09835919972743354;6.935421720222074;0.579318740360786;-1.6362572895108403;2.165;3.8757176056266065;3.5964765598062165
1996.25;-1.7133;-0.7135998621289822;0.34982171152586616;1.0595431180989294;0.8948137627395988;0.3981425299184771;4.305691556078582;-2.36029424944455;0.548346124516835;7.312199504890267;-4.1481216731673625;-1.5870157551198232;2.4225;4.448641997457968;0.6101300196176496
1996.5;-1.9125;-0.8655855957175206;0.12569300251730198;1.0611192011325539;0.6942669070953464;0.6600684031352166;7.20788051440169;2.0555709322260363;-0.33709756396143875;3.650546128436251;4.054215720004664;-1.0856936068082057;2.49;6.263707162082989;1.8846692372797236
1996.75;-0.1173;-0.904547643365295;0.2502442493358181;1.0527338381155138;0.17467045390097694;-0.2635047638005261;7.974087117873663;0.7095822226847126;0.16269146962535214;2.4682866107333257;8.346254678463639;-1.9727400710708232;2.2225;8.77506304201236;2.5731418340225964
1997;-0.6195;-1.204123746740837;0.1807340314715411;1.0571632816664946;-1.4518925622590988;-0.3965636393346905;9.011092921310816;0.10095913328509454;-0.08507359742279211;2.77625954073711;-4.489898018895306;-2.452707661360666;1.8825;11.083201778703295;1.1152472210037345
1997.25;-1.0208;-0.539575368116524;0.22253546591946005;1.0998036288363484;0.26262108439941523;1.0540282035432114;10.113359190128428;-0.5058180387512934;-0.5166796785435586;2.1572068438276357;9.77984738586139;-2.1543931637106244;1.79;10.96335001092746;-0.7249430305393822
1997.5;-0.598;-0.2796307748603702;0.3022043132324015;1.1005434464549864;1.4647333676323762;-0.3939598004079947;8.98675875723065;0.20263434100984412;0.16198162334742822;4.2228126975486315;2.8374313591276734;-2.986241221771643;2.015;6.78675121902073;-3.923101518303884
1997.75;-0.2093;-0.4376685185909017;0.038652679291395486;1.1409418183129074;-0.8453907440902089;0.1314924581309107;5.752742899330539;1.2072581147216432;-0.059660929021275184;-4.677333114939438;-10.419186787197265;-3.428777479937775;1.9725;6.188003193554419;-0.7190891200992588
1998;0.9429;-0.3899942513446839;-0.052157170145150644;1.1280075461620394;-1.3811219847186493;0.3934431304834618;4.702290068653143;-3.0459206410461626;0.41362078444140893;-3.8862533871220477;-1.9491449264168903;-3.989758610948846;2.2375;2.716752647562523;-2.530656691391542
1998.25;0.5579;-0.3734856506441543;0.06024755700533291;1.126497726145287;-2.7572331225581053;0.3919012200735317;4.102582221909426;1.22952367563256;-0.11490637580516673;-5.2438836534321736;-14.980492840918059;-5.051815666614496;2.275;-0.8951091968308104;-6.372719198847854
1998.5;-0.1989;-0.0030252193003578796;0.0880828176748949;1.116711462069622;-2.3119393015352934;0.3903713480474025;0.931053072743662;0;0.39652125897353585;-13.888709646066916;-13.387356279810769;-4.750852833807756;1.695;-2.4222219356872765;-2.538681153989053
1998.75;-0.1675;0.6926778034026638;0.3132229151115773;1.0466954413935028;-0.9948674369317074;0.1297858715599176;1.517701966186449;0.40650450968211516;0.7661111280359222;-6.927056389417931;20.743025289433863;-5.778035270792962;1.145;-3.4118126517071135;-2.993661020727245
1999;0.8631;0.7808807851007955;-0.09933892659859112;0.9647463793904906;-0.4523644899134071;-0.6506203822738144;2.545739100182674;-3.719436974318313;2.4042836875547966;-3.5371979237955755;5.341138790528407;-4.828389920067531;1.1125;0.3551412798946695;1.9025406474766804
1999.25;0.1374;0.7851827118407397;0.03935357338544776;0.9413341255702099;-0.4859509905566984;1.1680859612756223;0.5548336774932668;2.5975486358618127;1.2086941534259268;-4.093956035257579;0.03607064755947187;-4.60523506658376;1.17;3.7629897132806462;1.3856157911049216
1999.5;-0.3569;1.2338150686510607;-0.046963414974054984;1.001691896074278;-0.013597947204312658;0.1289490829871731;2.0172322148443853;4.217492556614122;1.0157501691052464;-0.5296025480366562;-4.051550472977667;-4.5413030163379196;1.2025;0.3811634803259807;-3.9526886315448095
